ticket_id,region,state,site,subject,description,space,equipment,type,created_on,channel,issue_type,problem_category,problem_subcategory,ticket_state,priority,closed_time,maintenance_team,maintenance_type,ticket_action_type,block,sla_status,sla_end_date
CHNOZOTE-2304754,South,Florida,Miami South,6th floor ODC 4 ws 39,6th floor ODC 4 ws 39,6F,,Asset,2023-09-20,Mobile_App,Request,Air Condition*,Too Cool*,Closed,High,2023-09-20,Ozone - HVAC Team,Corrective,Proactive,OZ,Within SLA,2023-09-21
HCLCESTE-2304499,South,Texas,Austin Downtown,FF server room skirting remove  condition  need to fix,FF server room skirting remove  condition  need to fix,F1,,Asset,2023-10-09,Mobile_App,Request,Fixtures & Fittings *,Skirting Boards*,Closed,High,2023-10-09,Cessna -Electrical Team,Corrective,Proactive,B9,Within SLA,2023-10-10
CHETA1TE-2303969,South,Florida,Miami Beach,5th floor ODC 501C main door sticker stains remove,5th floor ODC 501C main door sticker stains remove,ODC 501-C,,Asset,2023-09-19,Mobile_App,Request,Doors & Barriers-Cmn*,Door General*,Closed,Normal,2023-09-19,ETA1 Soft Service team,Corrective,Proactive,F5 LW,Within SLA,2023-09-20
MDUSPATE-2302713,West,California,San Francisco Bay Area,Ground floor meenakshi meeting room door handle issue,Ground floor meenakshi meeting room door handle issue,Meeting Room,,Asset,2023-09-19,Web,Request,CARPENTRY*,Door General*,Closed,Normal,2023-09-19,HCL MDU_SPA Soft Service Team,Corrective,Proactive,SP A Tower,Within SLA,2023-09-20
HCLCESTE-2303830,South,Texas,Austin Downtown,F. F LRR  A. C. Diffuser dust  cleaning requirement,F. F LRR  A. C. Diffuser dust  cleaning requirement,LRR,,Asset,2023-09-19,Mobile_App,Request,Cleaning *,Special Clean*,Closed,High,2023-09-19,Cessna - Soft Service Team,Corrective,Proactive,B9,Within SLA,2023-09-20
MDUELCTE-2305978,West,California,San Francisco Downtown,Lock and key *,"Need pedestal key, kindly provide in Tower3 / Floor1(T3) / ODC 2B / W 81",ODC 2B,,Asset,2023-09-19,Email,Request,Lock and key *,Pedestal*,Closed,Standard,2023-09-20,MDU-Soft Service Team,Corrective,Proactive,Tower3,Within SLA,2023-09-19
CHNCAMTE-2312602,South,Florida,Miami Central,"52W PPM, W38, RO Dosing Pump-1, Subsatation-2","52W PPM, W38, RO Dosing Pump-1, Subsatation-2",WTP 2,,Asset,2023-09-22,Web,Request,Electrical*,Breakers*,Closed,Critical,2023-09-22,Substation2 - M&E Team,Corrective,Proactive,WTP 2,Within SLA,2023-09-22
BLRMTPTE-2303439,South,Texas,Dallas Uptown,Electrical Wire Cable laying cap is open,Electrical Wire Cable laying cap is open,VSR,,Asset,2023-09-27,Mobile_App,Request,Electrical*,Outlet Covers*,Closed,Critical,2023-09-27,BLR MTP_ Electrical Team,Corrective,Proactive,C4,Within SLA,2023-09-27
BLRITPTE-2303609,South,Texas,Austin East,7th floor MARS BOARD ROOM Ceiling tile need to be fix,7th floor MARS BOARD ROOM Ceiling tile need to be fix,MARS BOARD ROOM,,Asset,2023-09-19,Mobile_App,Request,CARPENTRY*,Ceiling Tiles Missing / Broken*,Closed,Normal,2023-09-19,ITPL-Electrical Team,Corrective,Proactive,South Wing(F7),Within SLA,2023-09-20
BLRJIGTE-2308354,South,Texas,Austin South,Light is flickering near Entrance,One Light is flickering near entrance area.,ODC 3,,Asset,2023-09-19,Web,Request,Electrical*,Lights Not Working / Flickering*,Closed,Normal,2023-09-19,Jigini-Electrical Team,Corrective,Proactive,W-B (T3),Within SLA,2023-09-20
BLRJIGTE-2400364,South,Texas,Austin South,Test#123,asdfg,,AC Panel,Equipment,2024-02-26,Web,Request,AC ISSUE,Cold,Open,Normal,,Jigini-Electrical Team,Corrective,Proactive,,SLA Elapsed,2024-02-27
BLRJIGTE-2400496,South,Texas,Austin South,Testing cbre,Testing cbre,,Door closers and floor spring,Equipment,2024-02-27,Mobile_App,Request,CARPENTRY,Door Handle Broken,Open,Normal,,Jigini-Carpenter Team,Corrective,Proactive,T-1,SLA Elapsed,2024-02-28
BLRJIGTE-2400463,South,Texas,Austin South,Testing space1,Testing space1,HSD yard,,Asset,2024-02-27,Mobile_App,Request,AC ISSUE,Need Pedastal Fans,Closed,Normal,2024-02-27,Jigini-Soft Service Team,Corrective,Proactive,,Within SLA,2024-02-28
BLRMTPTE-2303214,South,Texas,Dallas Uptown,Seat number 158 gum mark need to bee clean,Seat number 158 gum mark need to bee clean,ODC5,,Asset,2023-09-19,Mobile_App,Request,Cleaning *,Special Clean*,Closed,High,2023-09-19,BLR_MTP - Soft Service Team,Corrective,Proactive,C4,Within SLA,2023-09-20
BLRMTPTE-2303221,South,Texas,Dallas Uptown,Seat number 315 fabric need to bee clean,Seat number 315 fabric need to bee clean,ODC5,,Asset,2023-09-19,Mobile_App,Request,Cleaning *,Special Clean*,Closed,High,2023-09-19,BLR_MTP - Soft Service Team,Corrective,Proactive,C4,Within SLA,2023-09-20
VIJSEZTE-2305226,South,Tennessee,Nashville Green Hills,ODC-2 w/s-46 chair base loose sang point.,ODC-2 w/s-46 chair base loose sang point.,F3,,Asset,2023-09-19,Mobile_App,Request,CARPENTRY*,Table/Chairs/Desk/ Needs Repairs*,Closed,Normal,2023-09-19,VIJ_SEZ-Electrical Team,Corrective,Proactive,MEDHA TOWER,Within SLA,2023-09-20
CHETA1TE-2303973,South,Florida,Miami Beach,5th floor West side LRR EWC no 6 tap not working,5th floor West side LRR EWC no 6 tap not working,F5,,Asset,2023-09-19,Mobile_App,Request,Plumbing*,Water Taps Not Working*,Closed,Normal,2023-09-19,ETA1 Plumber Team,Corrective,Proactive,Block 1,Within SLA,2023-09-20
BLRJIGTE-2308387,South,Texas,Austin South,Cleaning *,ODC Cleaning Required in Tower-4 / Floor-6 (T4) / Wing-B (T4) / ODC 4,ODC 4,,Asset,2023-09-20,Phone,Request,Cleaning *,Floor/Carpet Cleaning*,Closed,Normal,2023-09-20,Jigini-Soft Service Team,Corrective,Proactive,W-B (T4),Within SLA,2023-09-21
CHNCAMTE-2312154,South,Florida,Miami Central,light flickering,light flickering,ODC,,Asset,2023-09-19,Mobile_App,Request,Electrical*,Lights Not Working / Flickering*,Closed,Normal,2023-09-19,HCL CHN - M&E Team,Corrective,Proactive,RW,Within SLA,2023-09-20
